Дата;  1-кімнатна ; 2-кімнатна ; 3-кімнатна ; Курс долара 
28.01.16; 5 032,00 ? ; 7 981,00 ? ; 13 213,00 ? ; 25,15 ? 
29.01.16; 5 025,00 ? ; 7 984,00 ? ; 13 265,00 ? ; 25,56 ? 
30.01.16; 5 019,00 ? ; 7 987,00 ? ; 13 322,00 ? ; 25,56 ? 
31.01.16; 5 013,00 ? ; 7 989,00 ? ; 13 387,00 ? ; 25,56 ? 
01.02.16; 5 009,00 ? ; 7 990,00 ? ; 13 457,00 ? ; 25,45 ? 
02.02.16; 5 005,00 ? ; 7 991,00 ? ; 13 534,00 ? ; 25,87 ? 
03.02.16; 5 003,00 ? ; 7 993,00 ? ; 13 617,00 ? ; 25,70 ? 
04.02.16; 5 001,00 ? ; 7 993,00 ? ; 13 699,00 ? ; 25,89 ? 
05.02.16; 5 000,00 ? ; 7 994,00 ? ; 13 777,00 ? ; 25,91 ? 
06.02.16; 5 000,00 ? ; 7 995,00 ? ; 13 852,00 ? ; 25,91 ? 
07.02.16; 5 000,00 ? ; 7 996,00 ? ; 13 922,00 ? ; 25,91 ? 
08.02.16; 5 000,00 ? ; 7 997,00 ? ; 13 983,00 ? ; 25,88 ? 
09.02.16; 5 000,00 ? ; 7 998,00 ? ; 14 036,00 ? ; 25,94 ? 
10.02.16; 5 000,00 ? ; 7 999,00 ? ; 14 086,00 ? ; 25,94 ? 
11.02.16; 5 000,00 ? ; 8 001,00 ? ; 14 128,00 ? ; 26,08 ? 
12.02.16; 5 000,00 ? ; 8 004,00 ? ; 14 168,00 ? ; 26,15 ? 
13.02.16; 5 000,00 ? ; 8 008,00 ? ; 14 202,00 ? ; 26,15 ? 
14.02.16; 5 000,00 ? ; 8 012,00 ? ; 14 230,00 ? ; 26,15 ? 
15.02.16; 5 000,00 ? ; 8 017,00 ? ; 14 252,00 ? ; 26,82 ? 
16.02.16; 5 000,00 ? ; 8 022,00 ? ; 14 266,00 ? ; 27,02 ? 
17.02.16; 5 000,00 ? ; 8 026,00 ? ; 14 271,00 ? ; 26,72 ? 
18.02.16; 5 000,00 ? ; 8 031,00 ? ; 14 268,00 ? ; 26,46 ? 
