Дата;  1-кімнатна ; 2-кімнатна ; 3-кімнатна ; Курс долара 
25.04.18; 6 177,00 ? ; 8 996,00 ? ; 12 050,00 ? ; 26,27 ? 
26.04.18; 6 176,00 ? ; 8 996,00 ? ; 11 981,00 ? ; 26,23 ? 
27.04.18; 6 176,00 ? ; 8 996,00 ? ; 11 913,00 ? ; 26,20 ? 
28.04.18; 6 179,00 ? ; 8 997,00 ? ; 11 849,00 ? ; 26,20 ? 
29.04.18; 6 184,00 ? ; 8 999,00 ? ; 11 790,00 ? ; 26,20 ? 
30.04.18; 6 191,00 ? ; 9 001,00 ? ; 11 743,00 ? ; 26,20 ? 
01.05.18; 6 201,00 ? ; 9 006,00 ? ; 11 710,00 ? ; 26,20 ? 
02.05.18; 6 215,00 ? ; 9 015,00 ? ; 11 682,00 ? ; 26,16 ? 
03.05.18; 6 234,00 ? ; 9 029,00 ? ; 11 661,00 ? ; 26,19 ? 
04.05.18; 6 259,00 ? ; 9 047,00 ? ; 11 644,00 ? ; 26,31 ? 
05.05.18; 6 289,00 ? ; 9 069,00 ? ; 11 635,00 ? ; 26,31 ? 
06.05.18; 6 328,00 ? ; 9 096,00 ? ; 11 632,00 ? ; 26,31 ? 
07.05.18; 6 373,00 ? ; 9 131,00 ? ; 11 643,00 ? ; 26,29 ? 
08.05.18; 6 426,00 ? ; 9 170,00 ? ; 11 664,00 ? ; 26,22 ? 
09.05.18; 6 481,00 ? ; 9 214,00 ? ; 11 699,00 ? ; 26,22 ? 
10.05.18; 6 539,00 ? ; 9 261,00 ? ; 11 745,00 ? ; 26,19 ? 
11.05.18; 6 603,00 ? ; 9 315,00 ? ; 11 803,00 ? ; 26,20 ? 
12.05.18; 6 671,00 ? ; 9 373,00 ? ; 11 870,00 ? ; 26,20 ? 
13.05.18; 6 739,00 ? ; 9 440,00 ? ; 11 939,00 ? ; 26,20 ? 
14.05.18; 6 808,00 ? ; 9 514,00 ? ; 12 008,00 ? ; 26,17 ? 
15.05.18; 6 877,00 ? ; 9 595,00 ? ; 12 072,00 ? ; 26,21 ? 
16.05.18; 6 947,00 ? ; 9 681,00 ? ; 12 133,00 ? ; 26,21 ? 
17.05.18; 7 015,00 ? ; 9 766,00 ? ; 12 192,00 ? ; 26,19 ? 
18.05.18; 7 082,00 ? ; 9 850,00 ? ; 12 246,00 ? ; 26,15 ? 
19.05.18; 7 147,00 ? ; 9 931,00 ? ; 12 295,00 ? ; 26,15 ? 
20.05.18; 7 211,00 ? ; 10 010,00 ? ; 12 336,00 ? ; 26,15 ? 
21.05.18; 7 270,00 ? ; 10 087,00 ? ; 12 369,00 ? ; 26,08 ? 
22.05.18; 7 325,00 ? ; 10 156,00 ? ; 12 388,00 ? ; 26,07 ? 
23.05.18; 7 375,00 ? ; 10 223,00 ? ; 12 398,00 ? ; 26,08 ? 
24.05.18; 7 423,00 ? ; 10 286,00 ? ; 12 397,00 ? ; 26,11 ? 
25.05.18; 7 468,00 ? ; 10 349,00 ? ; 12 395,00 ? ; 26,15 ? 
26.05.18; 7 507,00 ? ; 10 408,00 ? ; 12 397,00 ? ; 26,15 ? 
27.05.18; 7 542,00 ? ; 10 463,00 ? ; 12 405,00 ? ; 26,15 ? 
28.05.18; 7 575,00 ? ; 10 511,00 ? ; 12 422,00 ? ; 26,15 ? 
29.05.18; 7 610,00 ? ; 10 550,00 ? ; 12 452,00 ? ; 26,10 ? 
30.05.18; 7 644,00 ? ; 10 583,00 ? ; 12 495,00 ? ; 26,14 ? 
31.05.18; 7 677,00 ? ; 10 610,00 ? ; 12 552,00 ? ; 26,12 ? 
01.06.18; 7 710,00 ? ; 10 628,00 ? ; 12 609,00 ? ; 26,11 ? 
02.06.18; 7 743,00 ? ; 10 642,00 ? ; 12 669,00 ? ; 26,11 ? 
03.06.18; 7 775,00 ? ; 10 656,00 ? ; 12 744,00 ? ; 26,11 ? 
04.06.18; 7 804,00 ? ; 10 670,00 ? ; 12 837,00 ? ; 26,13 ? 
05.06.18; 7 833,00 ? ; 10 687,00 ? ; 12 948,00 ? ; 26,16 ? 
06.06.18; 7 862,00 ? ; 10 709,00 ? ; 13 076,00 ? ; 26,16 ? 
07.06.18; 7 891,00 ? ; 10 736,00 ? ; 13 219,00 ? ; 26,17 ? 
08.06.18; 7 919,00 ? ; 10 771,00 ? ; 13 382,00 ? ; 26,14 ? 
09.06.18; 7 946,00 ? ; 10 807,00 ? ; 13 542,00 ? ; 26,14 ? 
10.06.18; 7 975,00 ? ; 10 844,00 ? ; 13 691,00 ? ; 26,14 ? 
11.06.18; 8 005,00 ? ; 10 884,00 ? ; 13 829,00 ? ; 26,09 ? 
12.06.18; 8 035,00 ? ; 10 928,00 ? ; 13 956,00 ? ; 26,09 ? 
13.06.18; 8 065,00 ? ; 10 976,00 ? ; 14 069,00 ? ; 26,12 ? 
14.06.18; 8 094,00 ? ; 11 022,00 ? ; 14 170,00 ? ; 26,22 ? 
15.06.18; 8 124,00 ? ; 11 071,00 ? ; 14 257,00 ? ; 26,32 ? 
16.06.18; 8 154,00 ? ; 11 131,00 ? ; 14 360,00 ? ; 26,32 ? 
17.06.18; 8 184,00 ? ; 11 203,00 ? ; 14 478,00 ? ; 26,32 ? 
18.06.18; 8 214,00 ? ; 11 274,00 ? ; 14 585,00 ? ; 26,33 ? 
19.06.18; 8 246,00 ? ; 11 345,00 ? ; 14 679,00 ? ; 26,45 ? 
20.06.18; 8 276,00 ? ; 11 410,00 ? ; 14 762,00 ? ; 26,48 ? 
21.06.18; 8 303,00 ? ; 11 472,00 ? ; 14 831,00 ? ; 26,31 ? 
22.06.18; 8 329,00 ? ; 11 528,00 ? ; 14 890,00 ? ; 26,24 ? 
23.06.18; 8 355,00 ? ; 11 572,00 ? ; 14 931,00 ? ; 26,24 ? 
24.06.18; 8 378,00 ? ; 11 613,00 ? ; 14 965,00 ? ; 26,24 ? 
25.06.18; 8 398,00 ? ; 11 645,00 ? ; 14 999,00 ? ; 26,17 ? 
26.06.18; 8 412,00 ? ; 11 670,00 ? ; 15 034,00 ? ; 26,19 ? 
27.06.18; 8 425,00 ? ; 11 688,00 ? ; 15 071,00 ? ; 26,33 ? 
28.06.18; 8 436,00 ? ; 11 702,00 ? ; 15 111,00 ? ; 26,33 ? 
29.06.18; 8 445,00 ? ; 11 718,00 ? ; 15 153,00 ? ; 26,33 ? 
30.06.18; 8 452,00 ? ; 11 732,00 ? ; 15 197,00 ? ; 26,33 ? 
01.07.18; 8 456,00 ? ; 11 739,00 ? ; 15 226,00 ? ; 26,33 ? 
02.07.18; 8 458,00 ? ; 11 737,00 ? ; 15 241,00 ? ; 26,23 ? 
03.07.18; 8 458,00 ? ; 11 733,00 ? ; 15 254,00 ? ; 26,30 ? 
04.07.18; 8 455,00 ? ; 11 729,00 ? ; 15 270,00 ? ; 26,44 ? 
05.07.18; 8 453,00 ? ; 11 728,00 ? ; 15 286,00 ? ; 26,43 ? 
06.07.18; 8 453,00 ? ; 11 724,00 ? ; 15 304,00 ? ; 26,32 ? 
07.07.18; 8 455,00 ? ; 11 721,00 ? ; 15 322,00 ? ; 26,32 ? 
08.07.18; 8 457,00 ? ; 11 722,00 ? ; 15 345,00 ? ; 26,32 ? 
09.07.18; 8 461,00 ? ; 11 723,00 ? ; 15 373,00 ? ; 26,25 ? 
10.07.18; 8 469,00 ? ; 11 730,00 ? ; 15 406,00 ? ; 26,21 ? 
11.07.18; 8 482,00 ? ; 11 744,00 ? ; 15 443,00 ? ; 26,23 ? 
12.07.18; 8 496,00 ? ; 11 765,00 ? ; 15 480,00 ? ; 26,23 ? 
13.07.18; 8 511,00 ? ; 11 788,00 ? ; 15 514,00 ? ; 26,23 ? 
14.07.18; 8 527,00 ? ; 11 813,00 ? ; 15 549,00 ? ; 26,23 ? 
15.07.18; 8 545,00 ? ; 11 843,00 ? ; 15 586,00 ? ; 26,23 ? 
16.07.18; 8 563,00 ? ; 11 876,00 ? ; 15 629,00 ? ; 26,21 ? 
17.07.18; 8 581,00 ? ; 11 914,00 ? ; 15 677,00 ? ; 26,22 ? 
18.07.18; 8 597,00 ? ; 11 959,00 ? ; 15 727,00 ? ; 26,30 ? 
19.07.18; 8 616,00 ? ; 12 006,00 ? ; 15 778,00 ? ; 26,47 ? 
20.07.18; 8 638,00 ? ; 12 055,00 ? ; 15 833,00 ? ; 26,45 ? 
21.07.18; 8 657,00 ? ; 12 108,00 ? ; 15 891,00 ? ; 26,45 ? 
22.07.18; 8 673,00 ? ; 12 166,00 ? ; 15 955,00 ? ; 26,45 ? 
23.07.18; 8 691,00 ? ; 12 227,00 ? ; 16 023,00 ? ; 26,45 ? 
24.07.18; 8 708,00 ? ; 12 291,00 ? ; 16 095,00 ? ; 26,58 ? 
25.07.18; 8 727,00 ? ; 12 357,00 ? ; 16 163,00 ? ; 26,63 ? 
26.07.18; 8 747,00 ? ; 12 425,00 ? ; 16 227,00 ? ; 26,65 ? 
27.07.18; 8 768,00 ? ; 12 489,00 ? ; 16 293,00 ? ; 26,76 ? 
28.07.18; 8 790,00 ? ; 12 554,00 ? ; 16 362,00 ? ; 26,76 ? 
29.07.18; 8 812,00 ? ; 12 618,00 ? ; 16 433,00 ? ; 26,76 ? 
30.07.18; 8 835,00 ? ; 12 680,00 ? ; 16 500,00 ? ; 26,76 ? 
31.07.18; 8 862,00 ? ; 12 739,00 ? ; 16 562,00 ? ; 26,87 ? 
01.08.18; 8 895,00 ? ; 12 798,00 ? ; 16 617,00 ? ; 26,96 ? 
02.08.18; 8 934,00 ? ; 12 853,00 ? ; 16 675,00 ? ; 27,01 ? 
03.08.18; 8 973,00 ? ; 12 908,00 ? ; 16 735,00 ? ; 27,09 ? 
04.08.18; 9 012,00 ? ; 12 963,00 ? ; 16 795,00 ? ; 27,09 ? 
05.08.18; 9 053,00 ? ; 13 018,00 ? ; 16 850,00 ? ; 27,09 ? 
06.08.18; 9 096,00 ? ; 13 073,00 ? ; 16 899,00 ? ; 27,13 ? 
07.08.18; 9 141,00 ? ; 13 128,00 ? ; 16 943,00 ? ; 27,02 ? 
08.08.18; 9 187,00 ? ; 13 183,00 ? ; 16 987,00 ? ; 26,96 ? 
09.08.18; 9 231,00 ? ; 13 238,00 ? ; 17 038,00 ? ; 27,11 ? 
10.08.18; 9 271,00 ? ; 13 293,00 ? ; 17 097,00 ? ; 27,25 ? 
11.08.18; 9 309,00 ? ; 13 350,00 ? ; 17 158,00 ? ; 27,25 ? 
12.08.18; 9 347,00 ? ; 13 410,00 ? ; 17 219,00 ? ; 27,25 ? 
13.08.18; 9 384,00 ? ; 13 468,00 ? ; 17 282,00 ? ; 27,34 ? 
14.08.18; 9 422,00 ? ; 13 529,00 ? ; 17 349,00 ? ; 27,46 ? 
15.08.18; 9 455,00 ? ; 13 591,00 ? ; 17 423,00 ? ; 27,45 ? 
16.08.18; 9 483,00 ? ; 13 654,00 ? ; 17 503,00 ? ; 27,67 ? 
17.08.18; 9 506,00 ? ; 13 717,00 ? ; 17 582,00 ? ; 27,90 ? 
18.08.18; 9 529,00 ? ; 13 780,00 ? ; 17 658,00 ? ; 27,90 ? 
19.08.18; 9 552,00 ? ; 13 840,00 ? ; 17 731,00 ? ; 27,90 ? 
20.08.18; 9 575,00 ? ; 13 900,00 ? ; 17 802,00 ? ; 27,70 ? 
21.08.18; 9 597,00 ? ; 13 954,00 ? ; 17 867,00 ? ; 27,71 ? 
22.08.18; 9 616,00 ? ; 14 005,00 ? ; 17 928,00 ? ; 27,89 ? 
23.08.18; 9 633,00 ? ; 14 051,00 ? ; 17 977,00 ? ; 27,85 ? 
24.08.18; 9 650,00 ? ; 14 092,00 ? ; 18 018,00 ? ; 27,85 ? 
25.08.18; 9 669,00 ? ; 14 130,00 ? ; 18 049,00 ? ; 27,85 ? 
26.08.18; 9 690,00 ? ; 14 163,00 ? ; 18 070,00 ? ; 27,85 ? 
27.08.18; 9 706,00 ? ; 14 192,00 ? ; 18 084,00 ? ; 27,89 ? 
28.08.18; 9 719,00 ? ; 14 220,00 ? ; 18 091,00 ? ; 28,05 ? 
29.08.18; 9 729,00 ? ; 14 238,00 ? ; 18 091,00 ? ; 28,12 ? 
30.08.18; 9 740,00 ? ; 14 252,00 ? ; 18 082,00 ? ; 28,28 ? 
31.08.18; 9 752,00 ? ; 14 261,00 ? ; 18 068,00 ? ; 28,25 ? 
01.09.18; 9 765,00 ? ; 14 266,00 ? ; 18 048,00 ? ; 28,25 ? 
02.09.18; 9 774,00 ? ; 14 263,00 ? ; 18 026,00 ? ; 28,25 ? 
03.09.18; 9 779,00 ? ; 14 256,00 ? ; 18 002,00 ? ; 28,38 ? 
04.09.18; 9 779,00 ? ; 14 244,00 ? ; 17 976,00 ? ; 28,49 ? 
05.09.18; 9 774,00 ? ; 14 234,00 ? ; 17 960,00 ? ; 28,41 ? 
06.09.18; 9 772,00 ? ; 14 223,00 ? ; 17 952,00 ? ; 28,22 ? 
07.09.18; 9 772,00 ? ; 14 213,00 ? ; 17 955,00 ? ; 28,26 ? 
08.09.18; 9 770,00 ? ; 14 205,00 ? ; 17 963,00 ? ; 28,26 ? 
09.09.18; 9 766,00 ? ; 14 197,00 ? ; 17 976,00 ? ; 28,26 ? 
10.09.18; 9 761,00 ? ; 14 190,00 ? ; 17 995,00 ? ; 28,20 ? 
11.09.18; 9 760,00 ? ; 14 181,00 ? ; 18 019,00 ? ; 28,10 ? 
12.09.18; 9 761,00 ? ; 14 175,00 ? ; 18 044,00 ? ; 28,03 ? 
13.09.18; 9 766,00 ? ; 14 176,00 ? ; 18 072,00 ? ; 28,13 ? 
14.09.18; 9 769,00 ? ; 14 182,00 ? ; 18 106,00 ? ; 28,15 ? 
15.09.18; 9 773,00 ? ; 14 191,00 ? ; 18 142,00 ? ; 28,15 ? 
16.09.18; 9 775,00 ? ; 14 200,00 ? ; 18 179,00 ? ; 28,15 ? 
17.09.18; 9 779,00 ? ; 14 213,00 ? ; 18 215,00 ? ; 28,13 ? 
18.09.18; 9 786,00 ? ; 14 228,00 ? ; 18 248,00 ? ; 28,15 ? 
19.09.18; 9 797,00 ? ; 14 245,00 ? ; 18 282,00 ? ; 28,12 ? 
20.09.18; 9 813,00 ? ; 14 261,00 ? ; 18 311,00 ? ; 28,06 ? 
21.09.18; 9 828,00 ? ; 14 277,00 ? ; 18 333,00 ? ; 28,06 ? 
22.09.18; 9 841,00 ? ; 14 292,00 ? ; 18 344,00 ? ; 28,06 ? 
23.09.18; 9 854,00 ? ; 14 303,00 ? ; 18 346,00 ? ; 28,06 ? 
24.09.18; 9 867,00 ? ; 14 311,00 ? ; 18 344,00 ? ; 28,11 ? 
25.09.18; 9 879,00 ? ; 14 320,00 ? ; 18 340,00 ? ; 28,06 ? 
26.09.18; 9 890,00 ? ; 14 328,00 ? ; 18 334,00 ? ; 28,14 ? 
27.09.18; 9 899,00 ? ; 14 332,00 ? ; 18 331,00 ? ; 28,30 ? 
28.09.18; 9 906,00 ? ; 14 328,00 ? ; 18 327,00 ? ; 28,27 ? 
29.09.18; 9 913,00 ? ; 14 316,00 ? ; 18 316,00 ? ; 28,27 ? 
30.09.18; 9 919,00 ? ; 14 298,00 ? ; 18 301,00 ? ; 28,27 ? 
01.10.18; 9 925,00 ? ; 14 279,00 ? ; 18 285,00 ? ; 28,21 ? 
02.10.18; 9 933,00 ? ; 14 261,00 ? ; 18 275,00 ? ; 28,28 ? 
03.10.18; 9 942,00 ? ; 14 242,00 ? ; 18 272,00 ? ; 28,32 ? 
04.10.18; 9 948,00 ? ; 14 222,00 ? ; 18 274,00 ? ; 28,18 ? 
05.10.18; 9 953,00 ? ; 14 205,00 ? ; 18 278,00 ? ; 28,08 ? 
06.10.18; 9 957,00 ? ; 14 192,00 ? ; 18 287,00 ? ; 28,08 ? 
07.10.18; 9 960,00 ? ; 14 183,00 ? ; 18 305,00 ? ; 28,08 ? 
08.10.18; 9 964,00 ? ; 14 181,00 ? ; 18 329,00 ? ; 28,09 ? 
09.10.18; 9 968,00 ? ; 14 185,00 ? ; 18 355,00 ? ; 28,08 ? 
10.10.18; 9 971,00 ? ; 14 193,00 ? ; 18 382,00 ? ; 28 
11.10.18; 9 975,00 ? ; 14 206,00 ? ; 18 412,00 ? ; 27,98 ? 
12.10.18; 9 979,00 ? ; 14 226,00 ? ; 18 440,00 ? ; 27,93 ? 
13.10.18; 9 982,00 ? ; 14 254,00 ? ; 18 470,00 ? ; 27,93 ? 
14.10.18; 9 986,00 ? ; 14 290,00 ? ; 18 505,00 ? ; 27,93 ? 
15.10.18; 9 989,00 ? ; 14 328,00 ? ; 18 544,00 ? ; 27,93 ? 
16.10.18; 9 992,00 ? ; 14 371,00 ? ; 18 589,00 ? ; 27,93 ? 
17.10.18; 9 994,00 ? ; 14 415,00 ? ; 18 633,00 ? ; 27,92 ? 
18.10.18; 9 994,00 ? ; 14 461,00 ? ; 18 678,00 ? ; 28,04 ? 
19.10.18; 9 994,00 ? ; 14 509,00 ? ; 18 722,00 ? ; 28,18 ? 
20.10.18; 9 993,00 ? ; 14 549,00 ? ; 18 767,00 ? ; 28,18 ? 
21.10.18; 9 990,00 ? ; 14 581,00 ? ; 18 817,00 ? ; 28,18 ? 
22.10.18; 9 982,00 ? ; 14 604,00 ? ; 18 867,00 ? ; 28,08 ? 
23.10.18; 9 970,00 ? ; 14 618,00 ? ; 18 922,00 ? ; 28,15 ? 
24.10.18; 9 956,00 ? ; 14 623,00 ? ; 18 984,00 ? ; 28,21 ? 
25.10.18; 9 942,00 ? ; 14 620,00 ? ; 19 052,00 ? ; 28,34 ? 
26.10.18; 9 928,00 ? ; 14 607,00 ? ; 19 119,00 ? ; 28,27 ? 
27.10.18; 9 914,00 ? ; 14 586,00 ? ; 19 187,00 ? ; 28,27 ? 
28.10.18; 9 900,00 ? ; 14 556,00 ? ; 19 253,00 ? ; 28,27 ? 
29.10.18; 9 883,00 ? ; 14 519,00 ? ; 19 317,00 ? ; 28,20 ? 
30.10.18; 9 863,00 ? ; 14 481,00 ? ; 19 374,00 ? ; 28,16 ? 
31.10.18; 9 842,00 ? ; 14 439,00 ? ; 19 418,00 ? ; 28,12 ? 
01.11.18; 9 818,00 ? ; 14 392,00 ? ; 19 452,00 ? ; 28,16 ? 
02.11.18; 9 793,00 ? ; 14 341,00 ? ; 19 473,00 ? ; 28,13 ? 
03.11.18; 9 768,00 ? ; 14 289,00 ? ; 19 482,00 ? ; 28,13 ? 
04.11.18; 9 744,00 ? ; 14 242,00 ? ; 19 476,00 ? ; 28,13 ? 
05.11.18; 9 725,00 ? ; 14 199,00 ? ; 19 456,00 ? ; 28,02 ? 
06.11.18; 9 715,00 ? ; 14 161,00 ? ; 19 422,00 ? ; 27,96 ? 
07.11.18; 9 714,00 ? ; 14 127,00 ? ; 19 373,00 ? ; 27,90 ? 
08.11.18; 9 717,00 ? ; 14 098,00 ? ; 19 307,00 ? ; 27,93 ? 
09.11.18; 9 720,00 ? ; 14 072,00 ? ; 19 224,00 ? ; 27,89 ? 
10.11.18; 9 723,00 ? ; 14 052,00 ? ; 19 132,00 ? ; 27,89 ? 
11.11.18; 9 723,00 ? ; 14 036,00 ? ; 19 035,00 ? ; 27,89 ? 
12.11.18; 9 719,00 ? ; 14 024,00 ? ; 18 928,00 ? ; 27,90 ? 
13.11.18; 9 717,00 ? ; 14 015,00 ? ; 18 815,00 ? ; 27,92 ? 
14.11.18; 9 722,00 ? ; 14 006,00 ? ; 18 699,00 ? ; 27,84 ? 
15.11.18; 9 727,00 ? ; 13 996,00 ? ; 18 587,00 ? ; 27,77 ? 
16.11.18; 9 733,00 ? ; 13 987,00 ? ; 18 473,00 ? ; 27,75 ? 
17.11.18; 9 736,00 ? ; 13 977,00 ? ; 18 363,00 ? ; 27,75 ? 
18.11.18; 9 735,00 ? ; 13 966,00 ? ; 18 257,00 ? ; 27,75 ? 
19.11.18; 9 728,00 ? ; 13 954,00 ? ; 18 155,00 ? ; 27,76 ? 
20.11.18; 9 715,00 ? ; 13 943,00 ? ; 18 058,00 ? ; 27,76 ? 
21.11.18; 9 695,00 ? ; 13 930,00 ? ; 17 965,00 ? ; 27,77 ? 
22.11.18; 9 668,00 ? ; 13 916,00 ? ; 17 876,00 ? ; 27,75 ? 
23.11.18; 9 637,00 ? ; 13 896,00 ? ; 17 792,00 ? ; 27,80 ? 
24.11.18; 9 603,00 ? ; 13 872,00 ? ; 17 712,00 ? ; 27,80 ? 
25.11.18; 9 569,00 ? ; 13 844,00 ? ; 17 635,00 ? ; 27,80 ? 
26.11.18; 9 534,00 ? ; 13 811,00 ? ; 17 557,00 ? ; 27,90 ? 
27.11.18; 9 504,00 ? ; 13 774,00 ? ; 17 486,00 ? ; 28,11 ? 
28.11.18; 9 473,00 ? ; 13 735,00 ? ; 17 416,00 ? ; 28,27 ? 
29.11.18; 9 438,00 ? ; 13 692,00 ? ; 17 352,00 ? ; 28,39 ? 
30.11.18; 9 403,00 ? ; 13 651,00 ? ; 17 292,00 ? ; 28,22 ? 
01.12.18; 9 373,00 ? ; 13 609,00 ? ; 17 238,00 ? ; 28,22 ? 
02.12.18; 9 346,00 ? ; 13 568,00 ? ; 17 188,00 ? ; 28,22 ? 
03.12.18; 9 324,00 ? ; 13 526,00 ? ; 17 141,00 ? ; 28,17 ? 
04.12.18; 9 306,00 ? ; 13 479,00 ? ; 17 096,00 ? ; 28,13 ? 
05.12.18; 9 293,00 ? ; 13 428,00 ? ; 17 054,00 ? ; 27,98 ? 
06.12.18; 9 280,00 ? ; 13 375,00 ? ; 17 012,00 ? ; 27,88 ? 
07.12.18; 9 266,00 ? ; 13 322,00 ? ; 16 970,00 ? ; 27,82 ? 
08.12.18; 9 253,00 ? ; 13 273,00 ? ; 16 928,00 ? ; 27,82 ? 
09.12.18; 9 240,00 ? ; 13 227,00 ? ; 16 886,00 ? ; 27,82 ? 
10.12.18; 9 226,00 ? ; 13 184,00 ? ; 16 844,00 ? ; 27,78 ? 
11.12.18; 9 215,00 ? ; 13 144,00 ? ; 16 803,00 ? ; 27,71 ? 
12.12.18; 9 203,00 ? ; 13 108,00 ? ; 16 759,00 ? ; 27,81 ? 
13.12.18; 9 191,00 ? ; 13 074,00 ? ; 16 718,00 ? ; 27,87 ? 
14.12.18; 9 180,00 ? ; 13 041,00 ? ; 16 674,00 ? ; 27,84 ? 
15.12.18; 9 167,00 ? ; 13 009,00 ? ; 16 628,00 ? ; 27,84 ? 
16.12.18; 9 150,00 ? ; 12 979,00 ? ; 16 581,00 ? ; 27,84 ? 
17.12.18; 9 132,00 ? ; 12 950,00 ? ; 16 536,00 ? ; 27,89 ? 
18.12.18; 9 114,00 ? ; 12 922,00 ? ; 16 489,00 ? ; 27,85 ? 
19.12.18; 9 097,00 ? ; 12 896,00 ? ; 16 445,00 ? ; 27,72 ? 
20.12.18; 9 079,00 ? ; 12 873,00 ? ; 16 402,00 ? ; 27,58 ? 
21.12.18; 9 064,00 ? ; 12 849,00 ? ; 16 366,00 ? ; 27,43 ? 
22.12.18; 9 051,00 ? ; 12 822,00 ? ; 16 337,00 ? ; 27,43 ? 
23.12.18; 9 040,00 ? ; 12 790,00 ? ; 16 315,00 ? ; 27,43 ? 
24.12.18; 9 031,00 ? ; 12 758,00 ? ; 16 301,00 ? ; 27,43 ? 
26.12.18; 9 025,00 ? ; 12 725,00 ? ; 16 292,00 ? ; 27,27 ? 
27.12.18; 9 018,00 ? ; 12 690,00 ? ; 16 289,00 ? ; 27,45 ? 
28.12.18; 9 012,00 ? ; 12 653,00 ? ; 16 291,00 ? ; 27,69 ? 
29.12.18; 9 007,00 ? ; 12 619,00 ? ; 16 298,00 ? ; 27,69 ? 
30.12.18; 9 002,00 ? ; 12 586,00 ? ; 16 311,00 ? ; 27,69 ? 
31.12.18; 9 000,00 ? ; 12 552,00 ? ; 16 327,00 ? ; 27,69 ? 
01.01.19; 9 000,00 ? ; 12 517,00 ? ; 16 345,00 ? ; 27,69 ? 
02.01.19; 9 000,00 ? ; 12 481,00 ? ; 16 362,00 ? ; 27,69 ? 
03.01.19; 9 002,00 ? ; 12 448,00 ? ; 16 383,00 ? ; 27,51 ? 
04.01.19; 9 006,00 ? ; 12 416,00 ? ; 16 405,00 ? ; 27,71 ? 
05.01.19; 9 012,00 ? ; 12 384,00 ? ; 16 429,00 ? ; 27,71 ? 
06.01.19; 9 022,00 ? ; 12 357,00 ? ; 16 453,00 ? ; 27,71 ? 
07.01.19; 9 035,00 ? ; 12 336,00 ? ; 16 476,00 ? ; 27,71 ? 
08.01.19; 9 052,00 ? ; 12 323,00 ? ; 16 495,00 ? ; 28,02 ? 
09.01.19; 9 071,00 ? ; 12 314,00 ? ; 16 512,00 ? ; 28,12 ? 
10.01.19; 9 093,00 ? ; 12 310,00 ? ; 16 528,00 ? ; 28,27 ? 
11.01.19; 9 119,00 ? ; 12 311,00 ? ; 16 542,00 ? ; 28,15 ? 
12.01.19; 9 149,00 ? ; 12 312,00 ? ; 16 558,00 ? ; 28,15 ? 
13.01.19; 9 183,00 ? ; 12 312,00 ? ; 16 570,00 ? ; 28,15 ? 
14.01.19; 9 219,00 ? ; 12 309,00 ? ; 16 579,00 ? ; 28,02 ? 
15.01.19; 9 257,00 ? ; 12 307,00 ? ; 16 588,00 ? ; 28,17 ? 
16.01.19; 9 297,00 ? ; 12 308,00 ? ; 16 595,00 ? ; 28,01 ? 
17.01.19; 9 339,00 ? ; 12 313,00 ? ; 16 600,00 ? ; 28,03 ? 
18.01.19; 9 380,00 ? ; 12 319,00 ? ; 16 602,00 ? ; 27,98 ? 
19.01.19; 9 419,00 ? ; 12 327,00 ? ; 16 600,00 ? ; 27,98 ? 
20.01.19; 9 456,00 ? ; 12 340,00 ? ; 16 596,00 ? ; 27,98 ? 
21.01.19; 9 486,00 ? ; 12 354,00 ? ; 16 588,00 ? ; 27,95 ? 
22.01.19; 9 510,00 ? ; 12 366,00 ? ; 16 576,00 ? ; 27,90 ? 
23.01.19; 9 529,00 ? ; 12 376,00 ? ; 16 563,00 ? ; 27,70 ? 
24.01.19; 9 544,00 ? ; 12 384,00 ? ; 16 549,00 ? ; 27,79 ? 
25.01.19; 9 554,00 ? ; 12 389,00 ? ; 16 531,00 ? ; 27,82 ? 
26.01.19; 9 560,00 ? ; 12 393,00 ? ; 16 510,00 ? ; 27,82 ? 
27.01.19; 9 559,00 ? ; 12 400,00 ? ; 16 486,00 ? ; 27,82 ? 
28.01.19; 9 554,00 ? ; 12 413,00 ? ; 16 460,00 ? ; 27,79 ? 
29.01.19; 9 547,00 ? ; 12 430,00 ? ; 16 434,00 ? ; 27,77 ? 
30.01.19; 9 537,00 ? ; 12 448,00 ? ; 16 405,00 ? ; 27,76 ? 
31.01.19; 9 528,00 ? ; 12 467,00 ? ; 16 379,00 ? ; 27,74 ? 
01.02.19; 9 518,00 ? ; 12 486,00 ? ; 16 356,00 ? ; 27,57 ? 
02.02.19; 9 509,00 ? ; 12 504,00 ? ; 16 334,00 ? ; 27,57 ? 
03.02.19; 9 501,00 ? ; 12 519,00 ? ; 16 314,00 ? ; 27,57 ? 
04.02.19; 9 496,00 ? ; 12 532,00 ? ; 16 294,00 ? ; 27,42 ? 
05.02.19; 9 495,00 ? ; 12 544,00 ? ; 16 275,00 ? ; 27,22 ? 
06.02.19; 9 501,00 ? ; 12 555,00 ? ; 16 258,00 ? ; 26,96 ? 
07.02.19; 9 511,00 ? ; 12 566,00 ? ; 16 242,00 ? ; 26,96 ? 
08.02.19; 9 523,00 ? ; 12 578,00 ? ; 16 227,00 ? ; 26,90 ? 
09.02.19; 9 538,00 ? ; 12 589,00 ? ; 16 214,00 ? ; 26,90 ? 
