"Показник","Територіальний розріз","Періодичність","Період","Значення cпостереження"
"Кількість прибулих (всі потоки)","Київ","Місячна","2012-M04","12028"
"Кількість прибулих (всі потоки)","Київ","Місячна","2012-M05","15265"
"Кількість прибулих (всі потоки)","Київ","Місячна","2012-M06","18257"
"Кількість прибулих (всі потоки)","Київ","Місячна","2012-M07","21266"
"Кількість прибулих (всі потоки)","Київ","Місячна","2012-M08","23955"
"Кількість прибулих (всі потоки)","Київ","Місячна","2012-M09","34130"
"Кількість прибулих (всі потоки)","Київ","Місячна","2012-M10","46546"
"Кількість прибулих (всі потоки)","Київ","Місячна","2012-M11","57638"
"Кількість прибулих (всі потоки)","Київ","Місячна","2012-M12","63217"
"Кількість прибулих (всі потоки)","Київ","Місячна","2013-M01","2988"
"Кількість прибулих (всі потоки)","Київ","Місячна","2013-M02","6101"
"Кількість прибулих (всі потоки)","Київ","Місячна","2013-M03","8914"
"Кількість прибулих (всі потоки)","Київ","Місячна","2013-M04","11750"
"Кількість прибулих (всі потоки)","Київ","Місячна","2013-M05","14218"
"Кількість прибулих (всі потоки)","Київ","Місячна","2013-M06","16568"
"Кількість прибулих (всі потоки)","Київ","Місячна","2013-M07","19421"
"Кількість прибулих (всі потоки)","Київ","Місячна","2013-M08","22604"
"Кількість прибулих (всі потоки)","Київ","Місячна","2013-M09","31182"
"Кількість прибулих (всі потоки)","Київ","Місячна","2013-M10","41938"
"Кількість прибулих (всі потоки)","Київ","Місячна","2013-M11","52308"
"Кількість прибулих (всі потоки)","Київ","Місячна","2013-M12","56610"
"Кількість прибулих (всі потоки)","Київ","Місячна","2014-M01","2823"
"Кількість прибулих (всі потоки)","Київ","Місячна","2014-M02","5566"
"Кількість прибулих (всі потоки)","Київ","Місячна","2014-M03","8344"
"Кількість прибулих (всі потоки)","Київ","Місячна","2014-M04","11696"
"Кількість прибулих (всі потоки)","Київ","Місячна","2014-M05","14929"
"Кількість прибулих (всі потоки)","Київ","Місячна","2014-M06","17392"
"Кількість прибулих (всі потоки)","Київ","Місячна","2014-M07","19898"
"Кількість прибулих (всі потоки)","Київ","Місячна","2014-M08","22357"
"Кількість прибулих (всі потоки)","Київ","Місячна","2014-M09","31783"
"Кількість прибулих (всі потоки)","Київ","Місячна","2014-M10","40899"
"Кількість прибулих (всі потоки)","Київ","Місячна","2014-M11","45900"
"Кількість прибулих (всі потоки)","Київ","Місячна","2014-M12","49352"
"Кількість прибулих (всі потоки)","Київ","Місячна","2015-M01","2803"
"Кількість прибулих (всі потоки)","Київ","Місячна","2015-M02","5819"
"Кількість прибулих (всі потоки)","Київ","Місячна","2015-M03","8227"
"Кількість прибулих (всі потоки)","Київ","Місячна","2015-M04","10745"
"Кількість прибулих (всі потоки)","Київ","Місячна","2015-M05","13001"
"Кількість прибулих (всі потоки)","Київ","Місячна","2015-M06","15237"
"Кількість прибулих (всі потоки)","Київ","Місячна","2015-M07","17766"
"Кількість прибулих (всі потоки)","Київ","Місячна","2015-M08","19949"
"Кількість прибулих (всі потоки)","Київ","Місячна","2015-M09","27366"
"Кількість прибулих (всі потоки)","Київ","Місячна","2015-M10","36553"
"Кількість прибулих (всі потоки)","Київ","Місячна","2015-M11","42096"
"Кількість прибулих (всі потоки)","Київ","Місячна","2015-M12","46107"
"Кількість прибулих (всі потоки)","Київ","Місячна","2016-M01","3414"
"Кількість прибулих (всі потоки)","Київ","Місячна","2016-M02","6112"
"Кількість прибулих (всі потоки)","Київ","Місячна","2016-M03","9017"
"Кількість прибулих (всі потоки)","Київ","Місячна","2016-M04","9553"
"Кількість прибулих (всі потоки)","Київ","Місячна","2016-M05","9746"
"Кількість прибулих (всі потоки)","Київ","Місячна","2016-M06","9746"
"Кількість прибулих (всі потоки)","Київ","Місячна","2016-M07","9746"
"Кількість прибулих (всі потоки)","Київ","Місячна","2016-M08","9746"
"Кількість прибулих (всі потоки)","Київ","Місячна","2016-M09","9746"
"Кількість прибулих (всі потоки)","Київ","Місячна","2016-M10","9746"
"Кількість прибулих (всі потоки)","Київ","Місячна","2016-M11","9746"
"Кількість прибулих (всі потоки)","Київ","Місячна","2016-M12","29971"
"Кількість прибулих (всі потоки)","Київ","Місячна","2017-M01","2558"
"Кількість прибулих (всі потоки)","Київ","Місячна","2017-M02","4893"
"Кількість прибулих (всі потоки)","Київ","Місячна","2017-M03","7393"
"Кількість прибулих (всі потоки)","Київ","Місячна","2017-M04","9467"
"Кількість прибулих (всі потоки)","Київ","Місячна","2017-M05","12687"
"Кількість прибулих (всі потоки)","Київ","Місячна","2017-M06","13897"
"Кількість прибулих (всі потоки)","Київ","Місячна","2017-M07","15407"
"Кількість прибулих (всі потоки)","Київ","Місячна","2017-M08","17754"
"Кількість прибулих (всі потоки)","Київ","Місячна","2017-M09","23580"
"Кількість прибулих (всі потоки)","Київ","Місячна","2017-M10","28144"
"Кількість прибулих (всі потоки)","Київ","Місячна","2017-M11","32363"
"Кількість прибулих (всі потоки)","Київ","Місячна","2017-M12","36157"
"Кількість прибулих (всі потоки)","Київ","Місячна","2018-M01","2679"
"Кількість прибулих (всі потоки)","Київ","Місячна","2018-M02","6197"
"Кількість прибулих (всі потоки)","Київ","Місячна","2018-M03","9633"
"Кількість прибулих (всі потоки)","Київ","Місячна","2018-M04","12579"
"Кількість прибулих (всі потоки)","Київ","Місячна","2018-M05","15945"
"Кількість прибулих (всі потоки)","Київ","Місячна","2018-M06","19889"
"Кількість прибулих (всі потоки)","Київ","Місячна","2018-M07","23937"
"Кількість прибулих (всі потоки)","Київ","Місячна","2018-M08","28296"
"Кількість прибулих (всі потоки)","Київ","Місячна","2018-M09","38192"
"Кількість прибулих (всі потоки)","Київ","Місячна","2018-M10","45010"
"Кількість прибулих (всі потоки)","Київ","Місячна","2018-M11","50287"
"Кількість прибулих (всі потоки)","Київ","Місячна","2018-M12","54608"
"Кількість прибулих (всі потоки)","Київ","Місячна","2019-M01","3577"
"Кількість прибулих (всі потоки)","Київ","Місячна","2019-M02","7419"
"Кількість прибулих (всі потоки)","Київ","Місячна","2019-M03","11430"
"Кількість прибулих (всі потоки)","Київ","Місячна","2019-M04","15292"
"Кількість прибулих (всі потоки)","Київ","Місячна","2019-M05","19209"
"Кількість прибулих (всі потоки)","Київ","Місячна","2019-M06","22325"
"Кількість прибулих (всі потоки)","Київ","Місячна","2019-M07","26221"
"Кількість прибулих (всі потоки)","Київ","Місячна","2019-M08","31195"
"Кількість прибулих (всі потоки)","Київ","Місячна","2019-M09","42689"
"Кількість прибулих (всі потоки)","Київ","Місячна","2019-M10","49948"
"Кількість прибулих (всі потоки)","Київ","Місячна","2019-M11","55551"
"Кількість прибулих (всі потоки)","Київ","Місячна","2019-M12","60340"
"Кількість прибулих (всі потоки)","Київ","Місячна","2020-M01","3712"
"Кількість прибулих (всі потоки)","Київ","Місячна","2020-M02","7538"
"Кількість прибулих (всі потоки)","Київ","Місячна","2020-M03","9697"
"Кількість прибулих (всі потоки)","Київ","Місячна","2020-M04","9894"
"Кількість прибулих (всі потоки)","Київ","Місячна","2020-M05","10970"
"Кількість прибулих (всі потоки)","Київ","Місячна","2020-M06","14103"
"Кількість прибулих (всі потоки)","Київ","Місячна","2020-M07","17669"
"Кількість прибулих (всі потоки)","Київ","Місячна","2020-M08","21095"
"Кількість прибулих (всі потоки)","Київ","Місячна","2020-M09","26919"
"Кількість прибулих (всі потоки)","Київ","Місячна","2020-M10","32974"
"Кількість прибулих (всі потоки)","Київ","Місячна","2020-M11","36708"
"Кількість прибулих (всі потоки)","Київ","Місячна","2020-M12","40785"
"Кількість прибулих (всі потоки)","Київ","Місячна","2021-M01","1945"
"Кількість прибулих (всі потоки)","Київ","Місячна","2021-M02","6035"
"Кількість прибулих (всі потоки)","Київ","Місячна","2021-M03","9027"
"Кількість прибулих (всі потоки)","Київ","Місячна","2021-M04","9416"
"Кількість прибулих (всі потоки)","Київ","Місячна","2021-M05","15025"
"Кількість прибулих (всі потоки)","Київ","Місячна","2021-M06","19356"
"Кількість прибулих (всі потоки)","Київ","Місячна","2021-M07","23132"
"Кількість прибулих (всі потоки)","Київ","Місячна","2021-M08","27357"
"Кількість прибулих (всі потоки)","Київ","Місячна","2021-M09","34863"
"Кількість прибулих (всі потоки)","Київ","Місячна","2021-M10","40137"
"Кількість прибулих (всі потоки)","Київ","Місячна","2021-M11","44773"
"Кількість прибулих (всі потоки)","Київ","Місячна","2021-M12","49148"
"Кількість прибулих (всі потоки)","Київ","Річна","2002","44476"
"Кількість прибулих (всі потоки)","Київ","Річна","2003","52074"
"Кількість прибулих (всі потоки)","Київ","Річна","2004","60010"
"Кількість прибулих (всі потоки)","Київ","Річна","2005","59179"
"Кількість прибулих (всі потоки)","Київ","Річна","2006","56886"
"Кількість прибулих (всі потоки)","Київ","Річна","2007","54885"
"Кількість прибулих (всі потоки)","Київ","Річна","2008","54948"
"Кількість прибулих (всі потоки)","Київ","Річна","2009","47660"
"Кількість прибулих (всі потоки)","Київ","Річна","2010","46592"
"Кількість прибулих (всі потоки)","Київ","Річна","2011","49057"
"Кількість прибулих (всі потоки)","Київ","Річна","2012","63217"
"Кількість прибулих (всі потоки)","Київ","Річна","2013","56610"
"Кількість прибулих (всі потоки)","Київ","Річна","2014","49352"
"Кількість прибулих (всі потоки)","Київ","Річна","2015","46107"
"Кількість прибулих (всі потоки)","Київ","Річна","2016","29971"
"Кількість прибулих (всі потоки)","Київ","Річна","2017","36157"
"Кількість прибулих (всі потоки)","Київ","Річна","2018","54608"
"Кількість прибулих (всі потоки)","Київ","Річна","2019","60340"
"Кількість прибулих (всі потоки)","Київ","Річна","2020","40785"
"Кількість прибулих (всі потоки)","Київ","Річна","2021","49148"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2002","101.9"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2003","113.6"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2004","113.2"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2005","106.5"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2006","111.6"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2007","110.2"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2008","114.6"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2009","116.2"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2010","128.9"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2011","139"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2012","136"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2013","133.8"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2014","121.3"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2015","112.7"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2016","57.2"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2017","109"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2018","138.2"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2019","145.9"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2020","136.8"
"Загальний коефіцієнт вибуття (всі потоки)","Київ","Річна","2021","146.8"
