Дата;БН
01.03.2020 0:00;3,149808827
01.06.2020 0:00;3,101230651
01.09.2020 0:00;3,171809741
01.12.2020 0:00;2,699579333
01.03.2021 0:00;2,623650849
01.06.2021 0:00;2,598338452
01.09.2021 0:00;2,479279629
01.12.2021 0:00;2,571744969
01.03.2022 0:00;2,466331764
01.06.2022 0:00;2,106848308
01.09.2022 0:00;2,137097633
01.12.2022 0:00;1,6190264
01.03.2023 0:00;1,548739403
01.06.2023 0:00;1,511909637
01.09.2023 0:00;1,613509373
01.12.2023 0:00;1,711373317
01.03.2024 0:00;1,840772792
01.06.2024 0:00;2,017770034
01.09.2024 0:00;2,092096138
