year,value
1985,0.008632596582174301
1985.0833333333333,0.00924299843609333
1985.1666666666667,0.03254413977265358
1985.25,0.031210986897349358
1985.3333333333333,0.01443939097225666
1985.4166666666667,0.0076940832659602165
1985.5,0.008509189821779728
1985.5833333333333,0.016777116805315018
1985.6666666666667,0
1985.75,0.014925372786819935
1985.8333333333333,0.07033997774124146
1985.9166666666667,0.01576044037938118
1986,0.008285691030323505
1986.0833333333333,0
1986.1666666666667,0.016351893544197083
1986.25,0.058096107095479965
1986.3333333333333,0.20423167943954468
1986.4166666666667,0.04090983420610428
1986.5,0.03432592377066612
1986.5833333333333,0.05832847207784653
1986.6666666666667,0.04924086853861809
1986.75,0.04559963569045067
1986.8333333333333,0.023858755826950073
1986.9166666666667,0.04018000513315201
1987,0
1987.0833333333333,0.013757997192442417
1987.1666666666667,0.006108362227678299
1987.25,0.005794078577309847
1987.3333333333333,0
1987.4166666666667,0.011819632723927498
1987.5,0.005919261369854212
1987.5833333333333,0.006008893251419067
1987.6666666666667,0.005768676288425922
1987.75,0.010982373729348183
1987.8333333333333,0.02279851771891117
1987.9166666666667,0.005690871737897396
1988,0
1988.0833333333333,0
1988.1666666666667,0.02167551778256893
1988.25,0.005778676830232143
1988.3333333333333,0.016584664583206177
1988.4166666666667,0.005638567730784416
1988.5,0.018002880737185478
1988.5833333333333,0
1988.6666666666667,0.005556481424719095
1988.75,0.0054939016699790955
1988.8333333333333,0
1988.9166666666667,0.005648760125041008
1989,0.004289820324629545
1989.0833333333333,0.004641878884285688
1989.1666666666667,0.024178924039006233
1989.25,0.008440598845481873
1989.3333333333333,0.00415783142670989
1989.4166666666667,0
1989.5,0.026711780577898026
1989.5833333333333,0.012977462261915207
1989.6666666666667,0.05106165632605553
1989.75,0.027698637917637825
1989.8333333333333,0
1989.9166666666667,0.016589250415563583
1990,0.02048424817621708
1990.0833333333333,0.008929767645895481
1990.1666666666667,0.046605560928583145
1990.25,0.049140047281980515
1990.3333333333333,0.04365772381424904
1990.4166666666667,0.020746028050780296
1990.5,0.05492648482322693
1990.5833333333333,0.03307425230741501
1990.6666666666667,0.004151617176830769
1990.75,0.019541174173355103
1990.8333333333333,0.052410900592803955
1990.9166666666667,0.04749363288283348
1991,0.10138285905122757
1991.0833333333333,0.05359535664319992
1991.1666666666667,0.0409332774579525
1991.25,0.024100257083773613
1991.3333333333333,0.01498744823038578
1991.4166666666667,0.011907124891877174
1991.5,0.07025373727083206
1991.5833333333333,0.34528982639312744
1991.6666666666667,0.24615873396396637
1991.75,0.1532231569290161
1991.8333333333333,0.15822173655033112
1991.9166666666667,0.870631992816925
1992,0.3325052559375763
1992.0833333333333,0.16594231128692627
1992.1666666666667,0.24087591469287872
1992.25,0.17746563255786896
1992.3333333333333,0.21566148102283478
1992.4166666666667,0.15017905831336975
1992.5,0.07568590342998505
1992.5833333333333,0.05424674600362778
1992.6666666666667,0.04606172442436218
1992.75,0.050229620188474655
1992.8333333333333,0.12251148372888565
1992.9166666666667,0.06446673721075058
1993,0.1832752376794815
1993.0833333333333,0.120432049036026
1993.1666666666667,0.11211524158716202
1993.25,0.11443234980106354
1993.3333333333333,0.1097920835018158
1993.4166666666667,0.22446301579475403
1993.5,0.16050219535827637
1993.5833333333333,0.05929659307003021
1993.6666666666667,0.1326722949743271
1993.75,0.13858896493911743
1993.8333333333333,0.11842728406190872
