Дата;Чисельність населення 
26.05.2016 0:00;2909491
27.05.2016 0:00;2909491
28.05.2016 0:00;2909491
29.05.2016 0:00;2909491
30.05.2016 0:00;2909491
31.05.2016 0:00;2909491
01.06.2016 0:00;2909491
02.06.2016 0:00;2908703
03.06.2016 0:00;2908703
04.06.2016 0:00;2908703
05.06.2016 0:00;2908703
06.06.2016 0:00;2908703
07.06.2016 0:00;2908703
08.06.2016 0:00;2908703
09.06.2016 0:00;2908703
10.06.2016 0:00;2908703
11.06.2016 0:00;2908703
12.06.2016 0:00;2908703
13.06.2016 0:00;2908703
14.06.2016 0:00;2908703
15.06.2016 0:00;2908703
16.06.2016 0:00;2908703
17.06.2016 0:00;2908703
18.06.2016 0:00;2908703
19.06.2016 0:00;2908703
20.06.2016 0:00;2908703
21.06.2016 0:00;2908703
22.06.2016 0:00;2908703
23.06.2016 0:00;2908703
24.06.2016 0:00;2908703
25.06.2016 0:00;2908703
26.06.2016 0:00;2908703
27.06.2016 0:00;2908703
28.06.2016 0:00;2908703
29.06.2016 0:00;2908703
30.06.2016 0:00;2908703
01.07.2016 0:00;2908703
02.07.2016 0:00;2908249
03.07.2016 0:00;2908249
04.07.2016 0:00;2908249
05.07.2016 0:00;2908249
06.07.2016 0:00;2908249
07.07.2016 0:00;2908249
08.07.2016 0:00;2908249
09.07.2016 0:00;2908249
10.07.2016 0:00;2908249
11.07.2016 0:00;2908249
12.07.2016 0:00;2908249
13.07.2016 0:00;2908249
14.07.2016 0:00;2908249
15.07.2016 0:00;2908249
16.07.2016 0:00;2908249
17.07.2016 0:00;2908249
18.07.2016 0:00;2908249
19.07.2016 0:00;2908249
20.07.2016 0:00;2908249
21.07.2016 0:00;2908249
22.07.2016 0:00;2908249
23.07.2016 0:00;2908249
24.07.2016 0:00;2908249
25.07.2016 0:00;2908249
26.07.2016 0:00;2908249
27.07.2016 0:00;2908249
28.07.2016 0:00;2908249
29.07.2016 0:00;2908249
30.07.2016 0:00;2908249
31.07.2016 0:00;2908249
01.08.2016 0:00;2908249
02.08.2016 0:00;2908141
03.08.2016 0:00;2908141
04.08.2016 0:00;2908141
05.08.2016 0:00;2908141
06.08.2016 0:00;2908141
07.08.2016 0:00;2908141
08.08.2016 0:00;2908141
09.08.2016 0:00;2908141
10.08.2016 0:00;2908141
11.08.2016 0:00;2908141
12.08.2016 0:00;2908141
13.08.2016 0:00;2908141
14.08.2016 0:00;2908141
15.08.2016 0:00;2908141
16.08.2016 0:00;2908141
17.08.2016 0:00;2908141
18.08.2016 0:00;2908141
19.08.2016 0:00;2908141
20.08.2016 0:00;2908141
21.08.2016 0:00;2908141
22.08.2016 0:00;2908141
23.08.2016 0:00;2908141
24.08.2016 0:00;2908141
25.08.2016 0:00;2908141
26.08.2016 0:00;2908141
27.08.2016 0:00;2908141
28.08.2016 0:00;2908141
29.08.2016 0:00;2908141
30.08.2016 0:00;2908141
31.08.2016 0:00;2908141
01.09.2016 0:00;2908141
02.09.2016 0:00;2908088
03.09.2016 0:00;2908088
04.09.2016 0:00;2908088
05.09.2016 0:00;2908088
06.09.2016 0:00;2908088
07.09.2016 0:00;2908088
08.09.2016 0:00;2908088
09.09.2016 0:00;2908088
10.09.2016 0:00;2908088
11.09.2016 0:00;2908088
12.09.2016 0:00;2908088
13.09.2016 0:00;2908088
14.09.2016 0:00;2908088
15.09.2016 0:00;2908088
16.09.2016 0:00;2908088
17.09.2016 0:00;2908088
18.09.2016 0:00;2908088
19.09.2016 0:00;2908088
20.09.2016 0:00;2908088
21.09.2016 0:00;2908088
22.09.2016 0:00;2908088
23.09.2016 0:00;2908088
24.09.2016 0:00;2908088
25.09.2016 0:00;2908088
26.09.2016 0:00;2908088
27.09.2016 0:00;2908088
28.09.2016 0:00;2908088
29.09.2016 0:00;2908088
30.09.2016 0:00;2908088
01.10.2016 0:00;2908088
02.10.2016 0:00;2907193
03.10.2016 0:00;2907193
04.10.2016 0:00;2907193
05.10.2016 0:00;2907193
06.10.2016 0:00;2907193
07.10.2016 0:00;2907193
08.10.2016 0:00;2907193
09.10.2016 0:00;2907193
10.10.2016 0:00;2907193
11.10.2016 0:00;2907193
12.10.2016 0:00;2907193
13.10.2016 0:00;2907193
14.10.2016 0:00;2907193
15.10.2016 0:00;2907193
16.10.2016 0:00;2907193
17.10.2016 0:00;2907193
18.10.2016 0:00;2907193
19.10.2016 0:00;2907193
20.10.2016 0:00;2907193
21.10.2016 0:00;2907193
22.10.2016 0:00;2907193
23.10.2016 0:00;2907193
24.10.2016 0:00;2907193
25.10.2016 0:00;2907193
26.10.2016 0:00;2907193
27.10.2016 0:00;2907193
28.10.2016 0:00;2907193
29.10.2016 0:00;2907193
30.10.2016 0:00;2907193
31.10.2016 0:00;2907193
01.11.2016 0:00;2907193
02.11.2016 0:00;2907817
03.11.2016 0:00;2907817
04.11.2016 0:00;2907817
05.11.2016 0:00;2907817
06.11.2016 0:00;2907817
07.11.2016 0:00;2907817
08.11.2016 0:00;2907817
09.11.2016 0:00;2907817
10.11.2016 0:00;2907817
11.11.2016 0:00;2907817
12.11.2016 0:00;2907817
13.11.2016 0:00;2907817
14.11.2016 0:00;2907817
15.11.2016 0:00;2907817
16.11.2016 0:00;2907817
17.11.2016 0:00;2907817
18.11.2016 0:00;2907817
19.11.2016 0:00;2907817
20.11.2016 0:00;2907817
21.11.2016 0:00;2907817
22.11.2016 0:00;2907817
23.11.2016 0:00;2907817
24.11.2016 0:00;2907817
25.11.2016 0:00;2907817
26.11.2016 0:00;2907817
27.11.2016 0:00;2907817
28.11.2016 0:00;2907817
29.11.2016 0:00;2907817
30.11.2016 0:00;2907817
01.12.2016 0:00;2907817
02.12.2016 0:00;2925761
