"Показник","Територіальний розріз","Періодичність","Період","Значення cпостереження"
"Кількість живонароджених","Київ","Місячна","2012-M09","25118"
"Кількість живонароджених","Київ","Місячна","2012-M10","28390"
"Кількість живонароджених","Київ","Місячна","2012-M11","31214"
"Кількість живонароджених","Київ","Місячна","2012-M12","33887"
"Кількість живонароджених","Київ","Місячна","2013-M01","2695"
"Кількість живонароджених","Київ","Місячна","2013-M02","5143"
"Кількість живонароджених","Київ","Місячна","2013-M03","7676"
"Кількість живонароджених","Київ","Місячна","2013-M04","10363"
"Кількість живонароджених","Київ","Місячна","2013-M05","12935"
"Кількість живонароджених","Київ","Місячна","2013-M06","15386"
"Кількість живонароджених","Київ","Місячна","2013-M07","18779"
"Кількість живонароджених","Київ","Місячна","2013-M08","21798"
"Кількість живонароджених","Київ","Місячна","2013-M09","24500"
"Кількість живонароджених","Київ","Місячна","2013-M10","27757"
"Кількість живонароджених","Київ","Місячна","2013-M11","30573"
"Кількість живонароджених","Київ","Місячна","2013-M12","33305"
"Кількість живонароджених","Київ","Місячна","2014-M01","2799"
"Кількість живонароджених","Київ","Місячна","2014-M02","5403"
"Кількість живонароджених","Київ","Місячна","2014-M03","8120"
"Кількість живонароджених","Київ","Місячна","2014-M04","10929"
"Кількість живонароджених","Київ","Місячна","2014-M05","13812"
"Кількість живонароджених","Київ","Місячна","2014-M06","16541"
"Кількість живонароджених","Київ","Місячна","2014-M07","19990"
"Кількість живонароджених","Київ","Місячна","2014-M08","22944"
"Кількість живонароджених","Київ","Місячна","2014-M09","25994"
"Кількість живонароджених","Київ","Місячна","2014-M10","29245"
"Кількість живонароджених","Київ","Місячна","2014-M11","31922"
"Кількість живонароджених","Київ","Місячна","2014-M12","34821"
"Кількість живонароджених","Київ","Місячна","2015-M01","2817"
"Кількість живонароджених","Київ","Місячна","2015-M02","5405"
"Кількість живонароджених","Київ","Місячна","2015-M03","8179"
"Кількість живонароджених","Київ","Місячна","2015-M04","11099"
"Кількість живонароджених","Київ","Місячна","2015-M05","13884"
"Кількість живонароджених","Київ","Місячна","2015-M06","16657"
"Кількість живонароджених","Київ","Місячна","2015-M07","20232"
"Кількість живонароджених","Київ","Місячна","2015-M08","23249"
"Кількість живонароджених","Київ","Місячна","2015-M09","26570"
"Кількість живонароджених","Київ","Місячна","2015-M10","29741"
"Кількість живонароджених","Київ","Місячна","2015-M11","32382"
"Кількість живонароджених","Київ","Місячна","2015-M12","35558"
"Кількість живонароджених","Київ","Місячна","2016-M01","2862"
"Кількість живонароджених","Київ","Місячна","2016-M02","5625"
"Кількість живонароджених","Київ","Місячна","2016-M03","8805"
"Кількість живонароджених","Київ","Місячна","2016-M04","11621"
"Кількість живонароджених","Київ","Місячна","2016-M05","14515"
"Кількість живонароджених","Київ","Місячна","2016-M06","17387"
"Кількість живонароджених","Київ","Місячна","2016-M07","20758"
"Кількість живонароджених","Київ","Місячна","2016-M08","24073"
"Кількість живонароджених","Київ","Місячна","2016-M09","27221"
"Кількість живонароджених","Київ","Місячна","2016-M10","30164"
"Кількість живонароджених","Київ","Місячна","2016-M11","33416"
"Кількість живонароджених","Київ","Місячна","2016-M12","36569"
"Кількість живонароджених","Київ","Місячна","2017-M01","2814"
"Кількість живонароджених","Київ","Місячна","2017-M02","5527"
"Кількість живонароджених","Київ","Місячна","2017-M03","8594"
"Кількість живонароджених","Київ","Місячна","2017-M04","11203"
"Кількість живонароджених","Київ","Місячна","2017-M05","14186"
"Кількість живонароджених","Київ","Місячна","2017-M06","17094"
"Кількість живонароджених","Київ","Місячна","2017-M07","20085"
"Кількість живонароджених","Київ","Місячна","2017-M08","23328"
"Кількість живонароджених","Київ","Місячна","2017-M09","26402"
"Кількість живонароджених","Київ","Місячна","2017-M10","29348"
"Кількість живонароджених","Київ","Місячна","2017-M11","32459"
"Кількість живонароджених","Київ","Місячна","2017-M12","35359"
"Кількість живонароджених","Київ","Місячна","2018-M01","2910"
"Кількість живонароджених","Київ","Місячна","2018-M02","5609"
"Кількість живонароджених","Київ","Місячна","2018-M03","8615"
"Кількість живонароджених","Київ","Місячна","2018-M04","11244"
"Кількість живонароджених","Київ","Місячна","2018-M05","14083"
"Кількість живонароджених","Київ","Місячна","2018-M06","16980"
"Кількість живонароджених","Київ","Місячна","2018-M07","20074"
"Кількість живонароджених","Київ","Місячна","2018-M08","23129"
"Кількість живонароджених","Київ","Місячна","2018-M09","26141"
"Кількість живонароджених","Київ","Місячна","2018-M10","29114"
"Кількість живонароджених","Київ","Місячна","2018-M11","32038"
"Кількість живонароджених","Київ","Місячна","2018-M12","34586"
"Кількість живонароджених","Київ","Місячна","2019-M01","2773"
"Кількість живонароджених","Київ","Місячна","2019-M02","5255"
"Кількість живонароджених","Київ","Місячна","2019-M03","8018"
"Кількість живонароджених","Київ","Місячна","2019-M04","10459"
"Кількість живонароджених","Київ","Місячна","2019-M05","13372"
"Кількість живонароджених","Київ","Місячна","2019-M06","15782"
"Кількість живонароджених","Київ","Місячна","2019-M07","18729"
"Кількість живонароджених","Київ","Місячна","2019-M08","21740"
"Кількість живонароджених","Київ","Місячна","2019-M09","24339"
"Кількість живонароджених","Київ","Місячна","2019-M10","27260"
"Кількість живонароджених","Київ","Місячна","2019-M11","29944"
"Кількість живонароджених","Київ","Місячна","2019-M12","32503"
"Кількість живонароджених","Київ","Місячна","2020-M01","2828"
"Кількість живонароджених","Київ","Місячна","2020-M02","5278"
"Кількість живонароджених","Київ","Місячна","2020-M03","7243"
"Кількість живонароджених","Київ","Місячна","2020-M04","9378"
"Кількість живонароджених","Київ","Місячна","2020-M05","11909"
"Кількість живонароджених","Київ","Місячна","2020-M06","14282"
"Кількість живонароджених","Київ","Місячна","2020-M07","17525"
"Кількість живонароджених","Київ","Місячна","2020-M08","20177"
"Кількість живонароджених","Київ","Місячна","2020-M09","23124"
"Кількість живонароджених","Київ","Місячна","2020-M10","25626"
"Кількість живонароджених","Київ","Місячна","2020-M11","27991"
"Кількість живонароджених","Київ","Місячна","2020-M12","30670"
"Кількість живонароджених","Київ","Місячна","2021-M01","2393"
"Кількість живонароджених","Київ","Місячна","2021-M02","4590"
"Кількість живонароджених","Київ","Місячна","2021-M03","7221"
"Кількість живонароджених","Київ","Місячна","2021-M04","9627"
"Кількість живонароджених","Київ","Місячна","2021-M05","11954"
"Кількість живонароджених","Київ","Місячна","2021-M06","14420"
"Кількість живонароджених","Київ","Місячна","2021-M07","17309"
"Кількість живонароджених","Київ","Місячна","2021-M08","19664"
"Кількість живонароджених","Київ","Місячна","2021-M09","22225"
"Кількість живонароджених","Київ","Місячна","2021-M10","24802"
"Кількість живонароджених","Київ","Місячна","2021-M11","27196"
"Кількість живонароджених","Київ","Місячна","2021-M12","29611"
"Кількість живонароджених","Київ","Місячна","2022-M01","1934"
