"Показник","Територіальний розріз","Період","Значення cпостереження"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2019","142.3"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2020","108.6"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2021","101.3"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2002","141.5"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2003","167.3"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2004","180.5"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2005","166.5"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2006","173.2"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2007","151.5"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2008","151.9"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2009","138.5"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2010","161.8"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2011","203.8"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2012","216.2"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2013","216.7"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2014","193.3"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2015","205.4"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2016","144.7"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2017","314.9"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2018","332.5"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2019","335.4"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2020","275.9"
"Загальний коефіцієнт прибуття (всі потоки)","Київська","2021","320"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2002","138.2"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2003","138.4"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2004","157.5"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2005","160.9"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2006","177.9"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2007","203"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2008","180.6"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2009","162.1"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2010","158.8"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2011","153.4"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2012","178.8"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2013","155"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2014","132.3"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2015","107.7"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2016","74.9"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2017","105.5"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2018","160.7"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2019","162"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2020","119.7"
"Загальний коефіцієнт прибуття (всі потоки)","Одеська","2021","130.6"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2002","201.7"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2003","208.5"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2004","209.4"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2005","198.1"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2006","200.1"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2007","195"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2008","175.7"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2009","161.4"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2010","164.4"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2011","170.3"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2012","167.5"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2013","157.3"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2014","140.6"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2015","149.8"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2016","41"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2017","130.8"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2018","168.8"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2019","151.8"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2020","125.6"
"Загальний коефіцієнт прибуття (всі потоки)","Черкаська","2021","124.3"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2002","196.3"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2003","207.4"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2004","214.9"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2005","194.6"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2006","190.6"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2007","188.9"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2008","180.9"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2009","154.9"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2010","159.6"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2011","152"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2012","205.2"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2013","179.2"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2014","161.4"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2015","148.8"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2016","66.1"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2017","204.2"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2018","193"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2019","181.1"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2020","146.3"
"Загальний коефіцієнт прибуття (всі потоки)","Харківська","2021","162.5"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2002","188.7"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2003","194.1"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2004","200.8"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2005","194.9"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2006","198.1"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2007","185.2"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2008","174.6"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2009","165.2"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2010","168.6"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2011","161"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2012","162.6"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2013","170.7"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2014","157.9"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2015","164.4"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2016","87.9"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2017","140.6"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2018","212.5"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2019","184.1"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2020","138"
"Загальний коефіцієнт прибуття (всі потоки)","Полтавська","2021","149"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2002","134.8"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2003","132.4"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2004","131.5"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2005","130.6"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2006","131.4"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2007","138.5"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2008","130.4"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2009","121.9"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2010","119.5"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2011","118.1"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2012","128.4"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2013","131.8"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2014","120.4"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2015","115.9"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2016","30.5"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2017","64.3"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2018","111.4"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2019","106.6"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2020","69"
"Загальний коефіцієнт прибуття (всі потоки)","Чернівецька","2021","86.3"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2002","170"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2003","198"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2004","226.2"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2005","220.8"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2006","210.3"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2007","201.1"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2008","199.6"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2009","171.7"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2010","166.9"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2011","174.8"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2012","223.4"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2013","198.1"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2014","171.5"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2015","159.2"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2016","102.8"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2017","123.4"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2018","185.6"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2019","203.9"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2020","137.6"
"Загальний коефіцієнт прибуття (всі потоки)","Київ","2021","166.2"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2002","167.5"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2003","167.1"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2004","169.3"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2005","165"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2006","166"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2007","158.8"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2008","145.8"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2009","127.1"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2010","129.4"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2011","125.1"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2012","130.2"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2013","126.9"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2014","124.7"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2015","120.8"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2016","52.6"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2017","71.6"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2018","114.9"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2019","111.4"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2020","85.1"
"Загальний коефіцієнт прибуття (всі потоки)","Миколаївська","2021","89.1"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2002","157.6"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2003","160.1"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2004","160.3"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2005","167.8"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2006","181.5"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2007","182.7"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2008","177"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2009","169.5"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2010","183.2"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2011","172.3"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2012","177"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2013","160.2"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2014","152.2"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2015","163.9"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2016","136.2"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2017","149.2"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2018","193.7"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2019","158"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2020","121.4"
"Загальний коефіцієнт прибуття (всі потоки)","Сумська","2021","122.6"
